orderID,name,date,status,zipCode,holdType,email
10000,ashihs,2012-12-15T18:30:00.000Z,false,2323,1,ash@gmail.com
567890,rohit,2012-12-12T18:30:00.000Z,false,56789,1,abc@gmail.com
15678,ashfg,2012-12-13T00:00:00.000Z,false,751001,1,asfgh@gmail.com
17843,jdkgj,2012-12-16T00:00:00.000Z,false,25676,1,asfdjkjk@gmail.com
716223,Sterling,2021-12-25T00:00:00.000Z,false,751024,3,lala@gmail.com
746402,Stark,2021-09-28T00:00:00.000Z,false,400023,1,abc@anticapthca.net
332613,Dwayne,2021-10-04T00:00:00.000Z,false,110024,3,Dwayne@gmail.com
250550,Ayers,2021-10-28T00:00:00.000Z,false,110001,1,Ayers@kisa.com
837054,Terrell,2021-10-30T00:00:00.000Z,false,700084,1,Terrell@gmail.com
473565,Meyer,2021-11-02T00:00:00.000Z,false,560076,3,Meyer@gmail.com
625556,Stevens,2021-12-13T00:00:00.000Z,false,700001,1,Stevens@gmail.com
916983,Pauline,2021-12-24T00:00:00.000Z,false,751024,4,Pauline@gmail.com
